Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaIA;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común C2 (AUX + ADM);24;comun-t02_4;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, la cartera común de servicios del Sistema Nacional de Salud se articula en torno a las siguientes modalidades:;Cartera común básica de servicios asistenciales, cartera común suplementaria y cartera común de servicios accesorios.;Cartera común básica nacional de servicios asistenciales y cartera común autonómica de servicios asistenciales.;Cartera común nacional básica de servicios asistenciales, cartera común suplementaria autonómica y cartera común de servicios accesorios autonómicos.;Cartera común nacional y autonómica básica de servicios asistenciales, cartera común nacional y autonómica suplementaria y cartera común nacional y autonómica de servicios accesorios.;A;B;A;B;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 8bis SNS: tres modalidades (básica, suplementaria, accesorios).
Común C2 (AUX + ADM);34;comun-t02_14;Según dispone la Ley 16/2003, de 28 de mayo, de cohesión y calidad del Sistema Nacional de Salud, los servicios de referencia:;Serán designados en el seno del Consejo Interterritorial del Sistema Nacional de Salud y acreditados por el Ministerio de Sanidad y Consumo.;Serán designados en el seno del Consejo Interterritorial del Sistema Nacional de Salud y acreditados por la autoridad correspondiente de la Comunidad Autónoma donde se ubiquen.;Serán designados y acreditados en el seno del Consejo Interterritorial del Sistema Nacional de Salud.;Serán designados en el seno del Consejo Interterritorial del Sistema Nacional de Salud, acreditados por el Ministerio de Sanidad y Consumo y financiados por la Comunidad Autónoma donde se ubiquen.;B;D;A;D;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 15 Ley 16/2003: La atención de urgencia se presta al paciente en los casos en que su situación clínica obliga a una atención sanitaria inmediata, garantizándose en todos los centros sanitarios públicos, privados y en los espacios públicos. La B recoge correctamente la definición y alcance. Respuesta B.
Común C2 (AUX + ADM);43;comun-t02_21;El personal estatutario de los servicios de salud que conforman el Sistema Nacional de Salud:;No ostenta el derecho individual a la libre sindicación.;Ostenta el derecho a la actividad sindical.;Ostenta el derecho de reunión, que podrá ejercerlo siempre que cuente con la necesaria autorización previa.;Todas las respuestas son correctas.;B;D;B;D;B;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 18 Ley 55/2003: El personal estatutario ostenta el derecho a la actividad sindical. El derecho de reunión no requiere autorización previa (art. 19 EM). La libre sindicación SÍ está reconocida. La opción correcta es la b) 'ostenta el derecho a la actividad sindical'. Respuesta B.
Común C2 (AUX + ADM);48;comun-t03_7;Procede la extinción de la condición de personal estatutario fijo de los servicios de salud:;Cuando se produzca la pérdida de la nacionalidad.;En caso de recaer sanción firme disciplinaria de separación del servicio.;Siempre que se imponga una pena principal o accesoria de inhabilitación especial para empleo o cargo público o para el ejercicio de la correspondiente profesión.;Todas las anteriores respuestas son correctas.;D;B;D;B;D;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 26 Ley 55/2003: Procede la extinción por: pérdida de la nacionalidad (a), sanción firme de separación del servicio (b), e inhabilitación especial (c). Las tres causas están contempladas, por tanto 'todas las anteriores' es correcto. Respuesta D.
Común C2 (AUX + ADM);64;comun-t04_5;La Ley 8/1997, de 26 de junio, de ordenación Sanitaria de Euskadi, establece respecto a las áreas de salud que:;La Comunidad Autónoma del País Vasco se divide territorialmente en áreas de salud de acuerdo con la situación socio-económica de cada demarcación geográfica.;En cada área de salud pueden ponerse en práctica las actuaciones esenciales que requiere la tutela general de la salud pública y exclusivamente la asistencia sanitaria primaria .;En cada área de salud se garantizará una adecuada ordenación de la atención primaria y su coordinación con la atención especializada.;Son correctas la a) y la c).;C;D;C;D;C;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 7 Ley 8/1997: Las áreas de salud son delimitadas en función de factores geográficos, socioeconómicos, demográficos y culturales. En cada área 'se garantizará una adecuada ordenación de la atención primaria y su coordinación con la atención especializada'. La opción C es la correcta. Respuesta C.
Común C2 (AUX + ADM);73;comun-t04_13;Según establece la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi:;El Plan de Salud de Euskadi debe ser aprobado por el Parlamento Vasco.;El Departamento competente en materia de sanidad debe elaborar semestralmente y remitir al Parlamento un informe con la evaluación de los objetivos y determinaciones del Plan de Salud de Euskadi.;El Departamento competente en materia de sanidad debe elaborar anualmente y remitir al Parlamento un informe con la evaluación de los objetivos y determinaciones del Plan de Salud de Euskadi.;Son correctas las respuestas a) y c).;C;C;D;C;D;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 8 Ley 8/1997: El Consejo Vasco de Salud es el órgano consultivo y de participación en materia sanitaria del Gobierno Vasco, presidido por el Consejero competente en sanidad, e integrado por representantes de las Administraciones implicadas, de los agentes sociales y de las organizaciones de consumidores y usuarios. La C recoge esta configuración. Respuesta C.
Común C2 (AUX + ADM);120;comun-t04_51;Según el Artículo 19.1 del Decreto 100/2018 de las organizaciones sanitarias integradas del ente público Osakidetza-Servicio Vasco de Salud, ¿quién ejerce la presidencia del Consejo Clínico Asistencial?;La persona titular de la Dirección Gerencia.;La persona titular de la Dirección Médica.;La persona titular de la Dirección de Enfermería.;La persona de mayor antigüedad en la vocalía de Atención Primaria.;B;A;B;A;B;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 5 Decreto 100/2018: Las OSI se crean mediante Decreto del Consejo de Gobierno a propuesta del Consejero de Salud, previo informe del Consejo de Administración de Osakidetza. Respuesta B.
Común C2 (AUX + ADM);260;comun-t16_5;En atención al III Plan de Normalización del Uso del Euskera en Osakidetza 2022-2028, señale la respuesta correcta:;“Aukeratu zeure hizkuntza/Elige tu lengua” es el lema de la campaña de activación del registro de la lengua preferente de cada paciente llevada a cabo en 2017. Se atribuye a todas las direcciones y gerencias de Osakidetza la responsabilidad de realizar la campaña con el lema “Aukeratu zeure hizkuntza/Elige tu lengua”.;c) “Aukeratu zeure hizkuntza/Elige tu lengua” es el lema de la campaña de activación del registro de la lengua preferente de cada paciente que realizará Osakidetza durante el primer año de planificación.;;“Aukeratu zeure hizkuntza/Elige tu lengua” es el lema de la campaña de activación del registro de la lengua preferente de cada paciente que realizará Osakidetza durante el tercer año de planificación.;C;A;C;A;C;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;III Plan Euskera Osakidetza 2022-2028: Los perfiles lingüísticos de los puestos de trabajo son requisitos de acreditación del nivel de euskera necesario para cada puesto. La C recoge correctamente la función y naturaleza de los perfiles lingüísticos. Respuesta C.
Común C2 (AUX + ADM);289;comun-t18_9;"Según la Ley Orgánica 3/2021, de 24 de marzo, de regulación de la eutanasia, ¿qué define como ""padecimiento grave, crónico e imposibilitante""?";Aquel que implica la existencia de sufrimiento físico o psíquico constante.;Aquel que genera una limitación que incide directamente sobre la autonomía física y capacidad de expresar su voluntad de la persona paciente.;La dependencia de otra persona para la realización de al menos dos actividades básicas de la vida diaria.;Una dolencia que ha sido declarada irreversible y con un pronóstico de vida inferior a seis meses.;B;A;B;A;B;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 3.c LO 3/2021: 'Padecimiento grave e incurable' es la enfermedad o condición resultante de una patología que incapacita de forma permanente para las actividades de la vida diaria y que no responde a los tratamientos disponibles. La B recoge esta definición legal. Respuesta B.
Común A2 / Técnico;60;tec-comun-t04_25;El número de integrantes del equipo directivo de las organizaciones de servicios sanitarios del ente público Osakidetza:;Oscilará entre dos y tres.;Oscilará entre tres y cuatro.;Oscilará entre cuatro y cinco.;La normativa no establece un número determinado sino un máximo de cinco.;A;B;D;B;D;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Decreto 100/2018, art. 9: El equipo directivo de cada organización de servicios de Osakidetza está compuesto por cuatro miembros: el Director/a, el Director/a Médico/a, el Director/a de Enfermería y el Director/a de Gestión. Respuesta A (4 miembros).
Común A2 / Técnico;78;tec-comun-t05_13;"Según el Artículo 8.m del Decreto 100/2018 de las OSI de Osakidetza, ¿a qué dirección corresponde ""orientar la gestión desde una visión integradora empoderando la atención primaria""?";Dirección de Atención Integrada.;Dirección Gerencia.;Dirección de Enfermería.;Dirección Económico-Financiera.;A;A;B;A;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 8.m Decreto 100/2018: la función de orientar la gestión desde una visión integradora empoderando la atención primaria corresponde a la Dirección de Atención Integrada.
Común A2 / Técnico;101;tec-comun-t09_5;Según dispone la Ley 7/2002, de 12 de diciembre, de las voluntades anticipadas, el documento de voluntades anticipadas:;"Se formaliza ante notaría; ante funcionaria/o encargada/o del Registro Vasco de Voluntades Anticipadas; o ante dos testigos.";"Se formaliza ante notaría; ante funcionaria/o encargada/o del Registro Vasco de Voluntades Anticipadas; o ante tres testigos.";"Se formaliza ante notaría; ante funcionaria/o encargada/o del Registro Vasco de Voluntades Anticipadas o del servicio de documentación de un centro sanitario de la CAPV; o ante dos testigos.";"Se formaliza ante notaría; ante funcionaria/o encargada/o del Registro Vasco de Voluntades Anticipadas o del servicio de documentación de un centro sanitario de la CAPV; o ante tres testigos.";C;C;B;C;B;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 3 Ley 7/2002: El DVA puede ser revocado en cualquier momento sin necesidad de respetar ninguna formalidad especial, basta con manifestar la voluntad de forma fehaciente. La última voluntad expresada prevalece sobre la anterior. Respuesta D.
Administrativo (específico);190;adm-prl-prevencion-riesgos_13;Según la Ley 31/1995, la vigilancia de la salud de los trabajadores se realizará:;Siempre con carácter obligatorio.;Únicamente a solicitud del trabajador.;En función de los riesgos inherentes al trabajo.;Exclusivamente tras un accidente laboral.;B;B;C;B;C;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 22.1 Ley 31/1995: 'El empresario garantizará a los trabajadores a su servicio la vigilancia periódica de su estado de salud EN FUNCIÓN DE LOS RIESGOS INHERENTES AL TRABAJO.' Con carácter VOLUNTARIO para el trabajador (salvo excepciones). No es siempre obligatoria (a), ni solo a solicitud (b), ni solo tras accidente (d). Respuesta B.
Auxiliar Administrativo (específico);34;aux-e11_16;Una vez obtenida la segunda opinión médica si el segundo diagnóstico no es confirmatorio del primero, la atención sanitaria se llevará a cabo:;En el centro sanitario donde se emitió la segunda opinión médica.;En cualquier centro sanitario.;En el centro sanitario de origen.;Todas las anteriores respuestas son correctas.;D;B;A;B;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Diagnóstico NO confirmatorio -> libertad de elección de centro.
Auxiliar Administrativo (específico);113;aux-e08_13;El personal incluido en el ámbito del Acuerdo regulador de las condiciones de trabajo del personal de Osakidetza-Servicio vasco de salud, para los años 2007, 2008 y 2009, deberá solicitar las licencias mediante escrito dirigido a:;La Dirección de Recursos Humanos de la Organización de servicios correspondiente.;La Dirección de la Organización de servicios correspondiente.;A la persona responsable de la Unidad solicitante.;La Dirección-Gerencia de la Organización de servicios.;D;D;A;D;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;D.235/2007 (solicitud de licencias): Las licencias se solicitarán mediante escrito dirigido a LA DIRECCIÓN-GERENCIA DE LA ORGANIZACIÓN DE SERVICIOS correspondiente. No a la Dirección de RRHH (a) ni al responsable de unidad (c). Respuesta D.
Auxiliar Administrativo (específico);114;aux-e08_14;Según el Decreto 235/2007 es un motivo para la concesión de permisos:;Lactancia.;Traslado o mudanza del domicilio habitual.;Violencia de género.;Ejercicio de funciones de representación sindical.;B;B;C;B;C;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;D.235/2007 (permisos): Es un motivo para la concesión de PERMISOS (de carácter breve) el TRASLADO O MUDANZA DEL DOMICILIO HABITUAL (1 día laboral). La lactancia y la violencia de género se encuadran en categorías distintas. Respuesta B.
Auxiliar Administrativo (específico);116;aux-e08_16;La licencia por enfermedad grave, hospitalización o fallecimiento de parientes, en el caso de tratarse del cónyuge, compañero/a o hijo/a contiene el siguiente periodo de duración.;Dos días hábiles. Dos días hábiles más si los hechos que lo motivan se producen a más de 110 kms. del lugar de residencia del solicitante.;Cuatro días naturales. Dos días hábiles más si los hechos que lo motivan se producen a más de 130 kms. del lugar de residencia del solicitante.;Tres días hábiles. Dos días hábiles más si los hechos que lo motivan se producen a más de 120 kms. del lugar de residencia del solicitante.;Cinco días naturales. Dos días hábiles más si los hechos que lo motivan se producen a más de 150 kms. del lugar de residencia del solicitante.;D;A;C;A;C;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;D.235/2007 (licencia enfermedad/hospitalización/fallecimiento familiar): Para cónyuge, compañero/a o hijo/a: CINCO DÍAS NATURALES. DOS DÍAS HÁBILES MÁS si los hechos se producen a más de 150 KM del lugar de residencia del solicitante. Respuesta D.
Auxiliar Administrativo (específico);126;aux-e07_6;El Consejo de Administración del Ente Público Osakidetza-Servicio Vasco de Salud, nombrará entre sus miembros a un Secretario que:;Podrá no ser miembro del Consejo.;Tendrá voto en los asuntos que se deliberen.;Sustituirá al Vicepresidente en caso de enfermedad.;Convocará las sesiones del Consejo de Administración.;B;B;A;B;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Decreto 255/1997, art. 16: El Vicepresidente/a del Consejo de Administración tendrá la función de sustituir al Presidente en caso de vacante, ausencia o enfermedad, y ejercer las funciones que el Presidente le delegue. La A es correcta. Respuesta B.
Auxiliar Administrativo (específico);127;aux-e07_7;La Dirección General del Ente Público Osakidetza-Servicio Vasco de Salud contará con el apoyo de un equipo directivo formado por:;Dos Directores de División.;Tres Directores de División.;Cuatro Directores de División.;Cinco Directores de División.;C;C;B;C;B;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Decreto 255/1997, art. 24: El Comité de Dirección de la Dirección General de Osakidetza estará integrado por un máximo de 10 miembros, nombrados por el Director/a General. La C es la respuesta correcta. Respuesta C.
Auxiliar Administrativo (específico);155;aux-e02_25;Según la Ley 39/2015, el derecho a ser asistido en el uso de medios electrónicos corresponde:;A todas las personas en sus relaciones con las Administraciones Públicas.;Únicamente a las personas que no estén obligadas a relacionarse electrónicamente.;Solo a quienes actúen mediante representante.;Exclusivamente a las personas mayores de edad.;B;B;A;B;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 13.b Ley 39/2015: El derecho a ser asistido en el uso de medios electrónicos corresponde A TODAS LAS PERSONAS en sus relaciones con las Administraciones Públicas. Respuesta B.
Técnico Superior Administrativo (específico);13;tec-t02_5;De acuerdo con la Ley Orgánica 3/1979, de 18 de diciembre, del Estatuto de Autonomía para el País Vasco, indíquese la afirmación correcta:;El Estatuto de Autonomía del País Vasco reconoce el derecho de Navarra a formar parte de la Comunidad Autónoma del País Vasco de acuerdo con el procedimiento establecido en el mismo.;El Estatuto de Autonomía del País Vasco reconoce el derecho a formar parte de la Comunidad Autónoma Vasca a las provincias de Álava, Gipuzkoa y Bizkaia, no así a Navarra.;La Disposición Transitoria 4ª de la Constitución Española establece el procedimiento para la incorporación de Navarra a la Comunidad Autónoma del País Vasco, para el supuesto de que aquella decidiera dicha incorporación.;El Estatuto de Autonomía del País Vasco no hace mención del derecho de Navarra a formar parte de la Comunidad Autónoma Vasca.;C;C;A;C;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;La DT 4ª CE prevé el procedimiento por el que Navarra podría incorporarse al País Vasco si así lo decidiesen sus órganos forales y lo ratificase el pueblo navarro.
Técnico Superior Administrativo (específico);37;tec-t03_7;¿Cuál de las siguientes respuestas en relación con la potestad del Gobierno Vasco de dictar Decretos-Legislativos es correcta?;El Parlamento Vasco podrá delegar en el Gobierno la potestad de dictar normas con rango de Ley, denominadas Decretos-Legislativos, si bien sólo en caso de extraordinaria y urgente necesidad.;La delegación legislativa deberá acordarse mediante una Ley ordinaria cuando su objeto sea la elaboración de textos articulados o por una Ley de Bases cuando se trate de refundir varios textos legales en uno solo.;El Parlamento Vasco podrá delegar en el Gobierno la potestad de dictar Decretos-Legislativos que afecten al desarrollo de los derechos fundamentales y de las libertades públicas.;El Parlamento Vasco no podrá delegar en el Gobierno la potestad de dictar Decretos-Legislativos que afecten al ordenamiento básico del Gobierno o al régimen jurídico de la Administración del País Vasco.;D;D;A;D;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Ley 7/1981: la delegación legislativa no puede afectar al ordenamiento básico del Gobierno ni al régimen jurídico de la Administración vasca. Los Decretos-Ley son para situaciones de urgencia, no los Decretos-Legislativos.
Técnico Superior Administrativo (específico);44;tec-t03_14;Teniendo en cuenta la estructura general del Departamento de Salud del Gobierno Vasco, indíquese cuál de las siguientes direcciones NO se encuentra dentro de la Viceconsejería de Salud:;Dirección de Investigación, Innovación y Evaluación sanitarias.;Dirección de Salud Pública y Adicciones.;Dirección de Farmacia.;Dirección de Transformación, Planificación y Digitalización en Salud.;C;C;D;C;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Decreto 319/2024: la Dirección de Farmacia depende de la Viceconsejería de Administración y Financiación Sanitarias, no de la Viceconsejería de Salud.
Técnico Superior Administrativo (específico);149;tec-t05_49;Conforme al Acuerdo de regulación de condiciones de trabajo del personal de Osakidetza, los servicios de localización:;Se compensarán con un 35% del importe fijado para las guardias de presencia física, con obligación de acudir al centro cuando se fuera requerido.;Se compensarán con un 20% del importe fijado para las guardias de presencia física, con obligación de acudir al centro cuando se fuera requerido.;Se compensarán con un 50% del importe fijado para las guardias de presencia física, con obligación de acudir al centro cuando se fuera requerido.;Se compensarán con un 25% del importe fijado para las guardias de presencia física, con obligación de acudir al centro cuando se fuera requerido.;D;D;C;D;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Acuerdo regulador Osakidetza (Decreto 235/2007): los servicios de localización se compensarán con un 25% del importe establecido para las guardias de presencia física, con obligación de acudir al centro cuando se requiera.
Técnico Superior Administrativo (específico);493;tec-casos-practicos_13;[ENUNCIADO: La responsable económica financiera de una entidad sanitaria tiene que realizar un informe para poder analizar la situación económico-financiera de la entidad. Para tal menester decide realizar una se...] Calcular el apalancamiento operativo teniendo en cuenta los siguientes datos, y ELIJA LA AFIRMACIÓN CORRECTA • Costes fijos: 100.000€ • Coste fijo unitario: 3,33€ • Coste variable unitario: 30€ • Precio unitario del servicio: 35€ • Servicios vendidos: 30.000 unidades;Apalancamiento operativo es: 1,5.;Apalancamiento operativo es: 3.;Apalancamiento operativo es: -1,004.;Todas las respuestas son incorrectas.;?;B;D;B;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Apalancamiento operativo = Margen de contribución / BAII. Margen contribución = (35 - 30) × 30.000 = 150.000€. BAII = 150.000 - 100.000 (costes fijos) = 50.000€. Ao = 150.000 / 50.000 = 3. Indica que un 1% de variación en ventas provoca un 3% de variación en el BAII.
Técnico Superior Administrativo (específico);498;tec-casos-practicos_18;La rentabilidad financiera (RF o ROE), utilizando el resultado antes de impuestos, es:;25,20 %;27,00 %;10,50 %;30,75 %;?;A;B;A;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Rentabilidad Financiera (RF) usando resultado antes de impuestos = EBT / PN = (11.340.000 + 6.300.000) / 70.000.000 = 17.640.000 / 70.000.000 = 0,252 = 25,20%. Mide el rendimiento obtenido por los accionistas sobre los recursos propios antes del impacto fiscal.
Técnico Superior Administrativo (específico);499;tec-casos-practicos_19;[ENUNCIADO: La empresa LUMIER, S.A., dedicada a la fabricación de equipamiento óptico, presenta a 31/12/2025 los siguientes datos contables (en euros): • Activo Corriente: 62.480.000€ • Pasivo Corriente: 45.360.0...] La ratio de endeudamiento de LUMIER, S.A. es:;1,00;0,85;1,22;0,57;?;C;B;C;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Ratio de endeudamiento = Pasivo Total / Patrimonio Neto = (PNC + PC) / PN = (40.000.000 + 45.360.000) / 70.000.000 = 85.360.000 / 70.000.000 = 1,22. Un ratio > 1 indica que LUMIER tiene más deuda que recursos propios, lo que implica mayor dependencia de financiación ajena.
